name,url,date
"July 12, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/07/7.12.22-backup.pdf,"July, 12, 2022"
"June 8, 2022 Special School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/06/6.8.22-agenda.pdf,"June, 8, 2022"
"May 31, 2022 Special School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/board-backup5.31.22.pdf,"May, 31, 2022"
Item #2,https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/item2.5.31.22.pdf,"May 31, 2022"
Item #3,https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/item3.5.31.22.pdf,"May 31, 2022"
"May 17, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/5.17.22-agenda.pdf,"May, 17, 2022"
"May 10, 2022 Budget Committee Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/5.10.22-budget-meeting.pdf,"May, 10, 2022"
"May 6, 2022 Policy Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/5.6.22-backup.pdf,"May, 6, 2022"
"May 3, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/05/board-backup-5.3.22.pdf,"May, 3, 2022"
"April 19, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/04/4.19.22-backup.pdf,"April 19, 2022"
tem #3 Attachment,https://nvmcsd.wpengine.com/wp-content/uploads/2022/04/4.19.22-backup-item-3.pdf,"April 19, 2022"
"April 5, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/04/4.5.22-backup.pdf,"April, 5, 2022"
"March 15, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/03/3.15.22-backup.pdf,"March, 15, 2022"
"March 1, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/02/3.1.22-backup.pdf,"March, 1, 2022"
"February 4, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/02/2.4.22-regular-meeting-backup.pdf,"February 4, 2022"
"February 4, Special Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/02/2.4.22-capital-meeting-backup.pdf,"February 4, 2022"
"January 4, 2022 School Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2021/12/1.4.22-agenda-and-backup.pdf,"January, 4, 2022"
"anuary 5, 2022 MCSD Safety Committee Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2021/12/safety-committee-1.5.22.pdf,"anuary, 5, 2022"
"January 14, 2022 Board Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2022/01/1.14.22-board-meeting.pdf,"January, 14, 2022"
"January 14, 2022 Safety Committee",https://nvmcsd.wpengine.com/wp-content/uploads/2022/01/1.14.22-amended-agenda.pdf,"January, 14, 2022"
"January 21, 2022 Policy Committee",https://nvmcsd.wpengine.com/wp-content/uploads/2022/01/1.21.22-policy.pdf,"January, 21, 2022"
8-10-21 Board Agenda,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/backup-agenda.pdf,"August 10, 2021"
Item 5,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-5.pdf,"August 10, 2021"
Item 6,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-6.pdf,"August 10, 2021"
Item 7,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-7.pdf,"August 10, 2021"
Item 8,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-8.pdf,"August 10, 2021"
Item 9,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-9.pdf,"August 10, 2021"
Item 10,https://nvmcsd.wpengine.com/wp-content/uploads/2021/08/item-10.pdf,"August 10, 2021"
"September 10, 2021 Agenda",https://nvmcsd.wpengine.com/wp-content/uploads/2021/09/9.7.21-agenda.pdf,"September, 10, 2021"
"September 21, 2021 Agenda",https://nvmcsd.wpengine.com/wp-content/uploads/2021/09/9.21.21-agenda-website.pdf,"September 21, 2021"
Board Backup,https://nvmcsd.wpengine.com/wp-content/uploads/2021/09/board-backup-9.21.21.pdf,"September 21, 2021"
"September 21, 2021 Insurance Committee",https://nvmcsd.wpengine.com/wp-content/uploads/2021/09/9.21.21-insurance-website.pdf,"September 21, 2021"
"October 5, 2021 Agenda",https://nvmcsd.wpengine.com/wp-content/uploads/2021/09/10.5.21-agenda.pdf,"October 5, 2021"
Board Backup,https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.5.21-backup.pdf,"October 5, 2021"
"October 15, 2021 Policy Committee Meeting",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.15.21-policy-committee.pdf,"October, 15, 2021"
"October 16, 2021 Board Workshop",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.16.21-agenda.pdf,"October 16, 2021"
Backup,https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.16.21-backup.pdf,"October 16, 2021"
"October 19, 2021 Insurance Committee",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.19.21-insurance-meeting.pdf,"October, 19, 2021"
"October 19, 2021 Board Agenda",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/10.19.21-agenda.pdf,"October, 19, 2021"
"November 2, 2021 Insurance Committee",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/11.2.21-insurance-agenda.pdf,"November, 2, 2021"
"November 2, 2021 Agenda",https://nvmcsd.wpengine.com/wp-content/uploads/2021/10/11.2.21-agenda-1.pdf,"November, 2, 2021"
